parts_unblocked,manufacturer,series,datasheet_url,example_parts
3,Vishay Ametherm,SL15,https://www.ametherm.com/datasheetspdf/SL1560004.pdf,"SL1560004, SL1560004A, SL1560004B"
3,Vishay Ametherm,SL22,https://www.ametherm.com/datasheetspdf/SL2260003.pdf,"SL2260003, SL2260003A, SL2260003B"
2,Vishay Ametherm,MegaSurge™,https://www.ametherm.com/datasheetspdf/MS322R025.pdf,"MS322R025, MS322R025B"
2,Vishay Ametherm,BigAMP,https://www.ametherm.com/datasheetspdf/SL322R023.pdf,"SL322R023, SL322R023B"
2,Vishay Ametherm,BigAMP,https://www.ametherm.com/datasheetspdf/SL322R025.pdf,"SL322R025, SL322R025B"
2,Vishay Ametherm,miniAMP,https://www.ametherm.com/datasheetspdf/SL082R503.pdf,"SL082R503, SL082R503A"
2,Vishay Ametherm,SL18; SL22,https://www.vishay.com/docs/24503/sl10.pdf,"SL182R508A, SL2216004A"
2,Vishay Ametherm,miniAMP,https://www.ametherm.com/datasheetspdf/SL054R003.pdf,"SL054R003, SL054R003A"
2,Vishay Ametherm,BigAMP,https://www.ametherm.com/datasheetspdf/SL324R023.pdf,"SL324R023, SL324R023B"
2,TDK,-,https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S235.pdf,"B57235S0479M000, B57235S0100M054"
2,Vishay Ametherm,MegaSurge™,https://www.ametherm.com/datasheetspdf/MS325R020.pdf,"MS325R020, MS325R020B"
2,Vishay Ametherm,miniAMP,https://www.ametherm.com/datasheetspdf/SL055R001.pdf,"SL055R001, SL055R001A"
2,Vishay Ametherm,miniAMP,https://www.ametherm.com/datasheetspdf/SL085R002.pdf,"SL085R002, SL085R002A"
2,Vishay Ametherm,SL18,https://www.ametherm.com/datasheetspdf/SL185R006.pdf,"SL185R006, SL185R006B"
2,Vishay Ametherm,SL18,https://www.vishay.com/docs/24506/sl18.pdf,"SL185R006A, SL1810005A"
2,Vishay Ametherm,SL22,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5561/SL22%205R012-B_DS.pdf,"SL225R012B, SL225R012BT"
2,Vishay Ametherm,MegaSurge™,https://www.ametherm.com/datasheetspdf/MS327R015.pdf,"MS327R015, MS327R015B"
2,Vishay Ametherm,miniAMP,https://www.ametherm.com/datasheetspdf/SL0810001.pdf,"SL0810001, SL0810001A"
2,Vishay Ametherm,miniAMP,https://www.ametherm.com/datasheetspdf/SL0810002.pdf,"SL0810002, SL0810002A"
2,Vishay Ametherm,SL10,https://www.ametherm.com/datasheetspdf/SL1010003.pdf,"SL1010003, SL1010003B"
2,Vishay Ametherm,SL15,https://www.ametherm.com/datasheetspdf/SL1510005.pdf,"SL1510005, SL1510005B"
2,Vishay Ametherm,SL18,https://www.ametherm.com/datasheetspdf/SL1810005.pdf,"SL1810005, SL1810005B"
2,Vishay Ametherm,SL22,https://www.ametherm.com/datasheetspdf/SL2210008.pdf,"SL2210008, SL2210008A"
2,Vishay Ametherm,BigAMP,https://www.ametherm.com/datasheetspdf/SL3210015.pdf,"SL3210015, SL3210015JU"
2,Vishay Ametherm,MegaSurge™,https://www.ametherm.com/datasheetspdf/MS3220008.pdf,"MS3220008, MS3220008B"
2,Vishay Ametherm,MegaSurge™,https://www.ametherm.com/datasheetspdf/MS3220010.pdf,"MS3220010, MS3220010B"
2,Vishay Ametherm,miniAMP,https://www.ametherm.com/datasheetspdf/SL0820002.pdf,"SL0820002, SL0820002A"
2,Vishay Ametherm,SL10,https://www.vishay.com/docs/24507/sl22.pdf,"SL1030002, SL1050001A"
2,Vishay Ametherm,SL22,https://www.ametherm.com/datasheetspdf/SL2230006.pdf,"SL2230006, SL223000617"
2,Vishay Ametherm,MegaSurge™,https://www.ametherm.com/datasheetspdf/MS3250006.pdf,"MS3250006, MS3250006B"
2,Vishay Ametherm,miniAMP,https://www.ametherm.com/datasheetspdf/SL0850001.pdf,"SL0850001, SL0850001A"
2,Vishay Ametherm,SL10,https://www.ametherm.com/datasheetspdf/SL1050001.pdf,"SL1050001, SL1050001B"
2,Vishay Ametherm,SL22,https://www.ametherm.com/datasheetspdf/SL2250004.pdf,"SL2250004, SL2250004B"
2,TDK,S234,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2292/B57234S0600Myyy.pdf,"B57234S0600M000, B57234S0600M051"
1,Vishay Ametherm,AS,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/371/AS322R025.pdf,AS322R025
1,Vishay Ametherm,AS,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/371/AS352R035.pdf,AS352R035
1,Vishay Ametherm,MegaSurge™,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/730/MS35_2R035_DS_RevB_2015.pdf,MS352R035
1,TDK,S236,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2512/B57236%2C%20S%20236.pdf,B57236S0259L002
1,Vishay Ametherm,SL08,https://www.ametherm.com/datasheetspdf/SL082R504.pdf,SL082R504
1,Vishay Ametherm,SL12,https://www.ametherm.com/datasheetspdf/SL122R505.pdf,SL122R505
1,Vishay Ametherm,SL12,https://www.ametherm.com/datasheetspdf/SL122R507.pdf,SL122R507
1,Vishay Ametherm,SL15,https://www.ametherm.com/datasheetspdf/SL152R506.pdf,SL152R506
1,Vishay Ametherm,SL15,https://www.ametherm.com/datasheetspdf/SL152R508.pdf,SL152R508
1,Vishay Ametherm,SL18,https://www.ametherm.com/datasheetspdf/SL182R508.pdf,SL182R508B
1,Vishay Ametherm,AS,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/371/AS353R030.pdf,AS353R030
1,Vishay Ametherm,MegaSurge™,https://www.ametherm.com/datasheetspdf/MS353R030.pdf,MS353R030
1,Vishay Ametherm,MegaSurge™,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1134/MS35_3R725_DS.pdf,MS353R725
1,Vishay Ametherm,SL05,https://www.ametherm.com/datasheetspdf/SL054R002.pdf,SL054R002
1,Vishay Ametherm,SL08,https://www.ametherm.com/datasheetspdf/SL084R003.pdf,SL084R003
1,Vishay Ametherm,SL15,https://www.ametherm.com/datasheetspdf/SL154R008.pdf,SL154R008
1,Vishay Ametherm,AS,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/371/AS325R020.pdf,AS325R020
1,Vishay Ametherm,AS,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/371/AS355R025.pdf,AS355R025
1,Vishay Ametherm,MS22,https://www.ametherm.com/datasheetspdf/MS225R015.pdf,MS225R015
1,Vishay Ametherm,MegaSurge™,https://www.ametherm.com/datasheetspdf/MS355R025.pdf,MS355R025
1,Vishay Ametherm,SURGE-GARD™,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2150/Lead_OG.pdf,SG57
1,Vishay Ametherm,SL05,https://www.ametherm.com/datasheetspdf/SL055R002.pdf,SL055R002
1,Vishay Ametherm,SL08,https://www.ametherm.com/datasheetspdf/SL085R003.pdf,SL085R003
