parts_unblocked,manufacturer,series,datasheet_url,example_parts
3,YAGEO,14K; 20K,https://yageogroup.com/content/datasheet/asset/file/14K_1,"511KK14, 511KK14J, 511KK20J"
3,Meritek,MVR,https://www.meritekusa.com/wp-content/uploads/2018/06/MOV-Standard-MVR-Series.pdf,"MVR14D511K, MVR20D511K, MVR14D561K"
3,TDK,SNF AdvanceD,https://www.tdk-electronics.tdk.com/inf/70/db/var/SIOV_SNF_AdvanceD.pdf,"B72214U2321K501, B72220U2321K501, B72210U2351K501"
2,Littelfuse Inc.,UltraMOV®,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7030/18_V10E300PL1A.pdf,"V10E300PL1A, V10E320PL1A7"
2,TDK,AdvanceD,https://www.tdk-electronics.tdk.com/inf/70/db/var/SIOV_Leaded_AdvanceD.pdf,"B72210S2301K101, B72210S2301K551"
2,YAGEO,10H,https://yageogroup.com/content/datasheet/asset/file/10H_1,"471KH10J, 561KH10J"
2,YAGEO,10K; 14K,https://yageogroup.com/content/datasheet/asset/file/10K_1,"471KK14, 561KK10J"
2,Thinking Electronics Industrial Co.,TVR,https://www.thinking.com.tw/upload/productdesigntools2/files/en-Metal%20Oxide%20Varistor-TVR%20Series.pdf,"TVR14471KSABU, TVR14561KSARW"
2,TDK,AdvanceD MP,https://www.tdk-electronics.tdk.com/inf/70/db/var/SIOV_Leaded_AdvanceD_MP_S14_compact_series.pdf?ref_disty=digikey,"B72214P2301K392, B72214P2321K502"
2,Littelfuse Inc.,Xtreme Varistor,https://www.littelfuse.com/assetdocs/littelfuse-varistor-xtreme-datasheet?assetguid=644323ff-c45d-4c6a-8e5e-9cfa0dce088b,"V14X300EL2T, V14X350EL3T7"
2,SETsafe | SETfuse,*,https://setfuse.com/SdwlUploads/Ed/file/20251120/MOV%2020D_SETsafe%20&%20SETfuse.pdf,"SFV20D471K, SFV20D511K"
2,TDK,"SuperioR, S25",https://www.tdk-electronics.tdk.com/inf/70/db/var/SIOV_Leaded_SuperioR_S25.pdf,"B72225S4301K101, B72225S4321K101"
2,Littelfuse Inc.,AUMOV™,https://www.littelfuse.com/assetdocs/littelfuse-varistor-aumov-datasheet?assetguid=bb63149a-3c1e-4608-8360-71453fc92229,"V14H320AUTO, V20H320AUTO"
2,TDK,Superior MP,https://product.tdk.com/system/files/dam/doc/product/protection/voltage/lead-disk-varistor/data_sheet/70/db/var/siov_leaded_superior_mp_s20.pdf,"B72220P3321K501, B72220P3321K302"
1,Littelfuse Inc.,UltraMOV®,https://www.littelfuse.com/assetdocs/varistors-lv-ultramov-datasheet?assetguid=293ecf97-62b0-4b10-a8a2-65c9fb8c7295,V14P300PL2B
1,TDK,StandarD,https://www.tdk-electronics.tdk.com/inf/70/db/var/SIOV_SNF_Automotive.pdf?ref_disty=digikey,B72214X2301K501
1,TDK,SNF AdvanceD-MP,https://www.tdk-electronics.tdk.com/inf/70/db/var/SIOV_SNF_AdvanceD_MP_14mm.pdf,B72214U2301K502
1,Harris Corporation,LA,https://rocelec.widen.net/view/pdf/hbwe2rofun/LFSIS10086-1.pdf?t.download=true&u=5oefqw,V300LA40A
1,Littelfuse Inc.,LC,https://www.littelfuse.com/assetdocs/varistors-la-datasheet?assetguid=f7c547ce-c2fa-4789-86cc-ec39a5060afb,V300LC40APX10
1,YAGEO,20K,https://yageogroup.com/content/datasheet/asset/file/20K_1,471KK20J
1,Harris Corporation,LS,https://rocelec.widen.net/view/pdf/oo9sikmcv2/LFSIS09716-1.pdf?t.download=true&u=5oefqw,V320LS40B
1,Würth Elektronik,WE-VD,https://www.we-online.com/components/products/datasheet/820523211.pdf,820523211
1,Littelfuse Inc.,HMOV™,https://www.littelfuse.com./assetdocs/littelfuse-varistors-hmov-datasheet?assetguid=19712a7a-9371-4973-bba5-3501b24e1529,V20H320PL3B1
1,TDK,SuperioR,https://product.tdk.com/en/system/files?file=dam/doc/product/protection/voltage/lead-disk-varistor/data_sheet/70/db/var/siov_snf_superior_mp_s20.pdf,B72220U3321K502
1,SETsafe | SETfuse,*,https://setfuse.com/SdwlUploads/Ed/file/20251120/MOV%2010D_SETsafe%20&%20SETfuse.pdf,SFV10D561K
1,Thinking Electronic,TVR,https://www.thinking.com.tw/upload/productdesigntools2/files/en-Varistor-TVR-D%20Series.pdf,TVR14561KSARW
